== 実験1: 炭の競合 — 充足率(その用途が必要量の何%を確保できたか) と 平均価格 ==
   phase mode    世帯の暖    塩小屋    燻製場    製鉄    価格
    P1潤沢    A     71%    100%  価格1.32
    P1潤沢    B     54%     53%  価格1.19
    P2逼迫    A     37%     94%    100%  価格1.52
    P2逼迫    B     50%     54%     52%  価格1.28
    P3危機    A      0%      0%     67%    100%  価格2.48
    P3危機    B     47%     48%     49%     48%  価格1.38

== 実験2: 魚の用途フリップ — 食用 vs 肥料(〆粕) の配分と価格 ==
  年    人口    畑    食用需要    肥料需要   食用確保%   肥料確保%    価格    対岸採算
  1    90    1      90       8     100      89  0.91       -
  2   220    4     220      32      66      33  1.32       -
  3   350    7     350      56      33       0  1.66     ★採算
  4   480   10     480      80      20       0  1.80     ★採算
  5   610   13     610     104      15       0  1.85     ★採算
  6   740   16     740     128      12       0  1.88     ★採算
  7   870   19     870     152      10       0  1.90     ★採算
  8  1000   22    1000     176       9       0  1.91     ★採算
(対岸採算=平均価格が対岸漁場の限界コスト1.35を超えた年=島の反対側への進出が市場から動機づけられる)
