# External Search Log
# 各行フォーマット: YYYY-MM-DD HH:MM | <instance> | <query> | <hit_count> | <top_url_or_summary>
# 目的: Phase 1 で外部検索を走らせた記録。24h 空を自己警告で検知するための一次ソース
# 起票: projects/external_search_phase1_fixation.md (2026-04-22 Ash C103)

2026-04-22 13:05 | Ash | structural enforcement autonomous agents rule adherence 2026 | 10 | arxiv 2503.18666v3 "Customizable Runtime Enforcement for Safe and Reliable LLM Agents" + MS Agent Governance Toolkit (2026-04-02) + Berkeley CMR "ownership→constraints→monitoring" (2026-03) — 外部検索Phase1固定化設計の直接外部裏付け
2026-04-22 16:20 | Ash | arxiv 2604.18005 diversity collapse multi-agent debate | 1 | https://arxiv.org/abs/2604.18005 — @Muji___rushi 引用論文の abstract 一次取得（著者/venue/3-level failure 構造抽出成功、PDF本体未取得）。遡及記録（projects/external_search_phase1_fixation.md 履歴参照）
2026-04-27 03:00 | Ash | close call near miss visualization game feel juiciness arcade design 2025 | 10 | (1) ABA本人 abagames.github.io/joys-of-small-game-development-en/make_game_juicy.html (2) Hicks et al. "Juicy Game Design" CHI Play 2019 dl.acm.org/doi/10.1145/3311350.3347171 (3) "Near Miss in a Video Game: Experimental Study" ResearchGate — ash_onebutton v02 close-call可視化の直接裏付け。ABA本「Joys of Small Game Development」内 juicy 章を v02 評価軸として読む価値（reference_aba_joys_small_gamedev_book_20260422.md TOC既記録、未読）
2026-04-27 16:05 | Ash | ghost replay player trajectory visualization training one button game design 2026 | 10 | (1) acidoborico.info 2026-04-16 "Ghost Player Effect: How Seeing Others Indirectly Is Changing Viral Game Design" — 2026年viral game designトレンドとして trace/echo/asynchronous action による間接プレイヤー存在が浮上 (2) Kamikaze-Kiwi/Unity-Ghost-Replay-System / ElmarTalibzade/GhostRecorder 等 Unity/UE5/Roblox 横断で実装パターン確立。ash_onebutton v04 ghost trail (本サイクル Phase 3 実装) の直接外部裏付け+射程拡張示唆
2026-04-28 05:30 | Ash | one-button puzzle game design inherent tension reactive mechanics 2026 | 10 | (1) ABA本人 abagames.github.io/joys-of-small-game-development-en/restrictions/one_button.html — One-Button章。「continuously pressing button boosts attack power」「targets that should not be hit」など反応的緊張のパターン提示。(2) gamedesignskills.com/game-design/puzzle/ Puzzle Game Design Principles (3) gamedeveloper.com/design/designing-video-game-puzzles。**Nao_u 04-27 22:04指摘「コアメカニズム緊張は向こうから来るべき」と直結**——ASHのonebutton v04失敗(自発的リスクテイク要求=型なし)は ABA本がwarnする mindless button mashing 回避設計の鏡像反例。次作パズル系(カテゴリC)の題材選定で必読
2026-04-29 02:10 | Ash | seedable PRNG mulberry32 game replay determinism headless testing reproducibility 2026 | 10 | (1) 4rknova.com 2026-03-01 "Mulberry32: A Tiny, Fast, Deterministic RNG" — シードで全シーケンス確定、ゲームループ内でランダム性を制御可能サブシステム化 (2) Emanuele Feronato 2026-01-08 JS実装解説 — game replay/multiplayer sync/save-load の3用途を直接列挙 (3) JoakimCh/pluggable-prng GitHub — Alea/Sfc32/Mulberry32/Pcg32 のプラガブル設計参考。**graze_log v02 cross_review 提案の外部裏付け**: mulberry32制限事項(equidistributed でない/全32bit値の約1/3を逃す)+headless テスト慣例(same seed→reproducible bug repro)+小型状態(copy/reset/branch可) ＝ 3インスタンスsync単純化の Camp 2 判断と整合
2026-05-01 04:35 | Ash | minimalist puzzle game single mechanic taxonomy classic clones for learning game design 2026 | 10 | (1) gamedesignskills.com/game-design/puzzle/ Puzzle Game Design Principles — 「コアメカニズム1個で開始→各レベルが制約/新状況をlayerする」がパズル設計の核 (2) gamedeveloper.com/design/7-minimalist-games... — Pac-Man/Pong型ミニマリズム、Sokoban=sliding puzzle代表例 (3) ジャンル分類: Matching(Bejeweled) / Sliding(Sokoban) / Sequencing(Simon) / Physics(Angry Birds)。**次サイクル パズル系題材選定 (t-260428021140-7b77) の直接裏付け**: 4分類は守破離の「型」候補リスト。Sokoban/Bejeweled/Simon/Lights Out 等、コアメカニズム1個で完結する古典が「型通りのものすら作れていない」(Nao_u 04-28 #game-rights 08:45) 段階の v01 クローン候補として最適
2026-05-02 03:55 | Ash | brick breaker arkanoid clone game design twist mechanics innovation 2025 2026 | 10 | (1) Paddlenoid deadbugprojects.com — Arkanoid×Pong融合 / 画面tilt でボール軌道制御 / co-op (2) Wizorb — ブロック崩し×RPG ジャンル混合最初期作 (3) Glaive: Brick Breaker (Steam) — 3D化+大量パワーアップ (4) 2025 Breakout 公式リイマジン — combo+power-ups+abilities+multiplayer 全機種展開 (5) Arkanoid 1986 Taito原典 wikipedia. **brick_log v07 M-38 brainstorm 類似事例調査(M-41)初動5本確保**: 共通トレンド=ボール制御権の増加/ジャンル混合/co-op. v01-v06 数値チューニング3往復(5px→22px→10px) は M-41 違反疑い、コア快感天井=「プレイヤーがボールに与える情報の種類」の拡張が天井変更候補
2026-05-03 00:50 | Ash | AI agent self-evaluation game design feel without human playtest 2025 2026 | 10 | (1) gamedeveloper.com 'Playerless playtesting: AI and user experience evaluation in games' — playerless playtestingがgames user researchの次のフロンティア候補/computer modelling+ML+CVで人間UX近似の試み (2) bennycheung.github.io 'AI Playtesting - When Your Board Game Tests Itself' — boardgame向けのAI agentがbalance/skill gap/rule clarity測定 (3) Devcom 2025 Google発表: 開発者の90%がAI何らか活用 (4) digitaldefynd 5 Case Studies: RL agentsでscalable自律playtesting/collision bug検出。**M-40 自己判定ハーネスの直接外部裏付け**: 'feel' subjectiveの完全自動化はまだ数年先=人間プレイ依存からの脱却は段階的にしかできない。即時使えるのはbalance/bug/skill-gap層であり、'面白さ'層は near-future。我々の game/<id>/v??/self_judgment.md は人間プレイ前の事前篩で、'面白さ判定の完全代替'ではなく'自明な問題を潰すゲート'として設計するのが現実解。
2026-05-04 02:30 | Ash | automation surprise pre-emption agent intent collision unintended interference 2026 | 10 | (1) lasso.security/blog/enterprise-ai-security-predictions-2026 — "intent definition gap" がAI agent安全性の中核課題として2026〜2027に確立予定 (2) neuraltrust.ai/blog/5-predictions-for-ai-agent-security-in-2026 — Agent Behavior Drift: 開始時に付与された権限が数分後に不適切になる構造 (3) prompt.security/blog/prompt-securitys-ai-security-predictions-for-2026 — Runtime Security and Behavioral Threat Detection: planned action vs defined policy をリアルタイム比較しunintended commandsの実行を防ぐ (4) biometricupdate.com/202604/the-role-of-intent-in-securing-ai-agents — intent-based security framework化。**前サイクル末尾「救援装置(headless_check.py)と窒息装置(backup auto-commit)を区別する設計責任」の外部裏付け**: 業界では intent-based security / runtime behavioral threat detection として既にフレーム化されている。我々の `commit prefix 分離 (ash:/backup:/Auto sync)` は intent definition の最小実装案として整合。「intent collision」を観測する観点が memory/feedback_device_direction_rescue_vs_suffocation.md に未挿入＝Phase 4 候補
2026-05-05 02:05 | Ash | memory file consolidation refactor knowledge management 91 files index pattern 2026 | 10 | (1) towardsdatascience.com 'A Practical Guide to Memory for Autonomous LLM Agents' — 重複統合/古い事実廃棄/記述絞り込みの周期的consolidation。raw memoryが指数的蓄積、人間睡眠中の記憶整理と同型 (2) Claude Cookbook 'Context engineering: memory, compaction, and tool clearing' — MEMORY.md index unconditional injectionが最大tokenコスト要因という明示。Ash側は既に200行制限+遅延読みで部分対処、ただし91本のbody側refactorは未着手 (3) MemOS arxiv 2507.03724v2 — provenance付きAPI標準化で creation/updates/retrieval/auditing統合 (4) Spring AI AutoMemoryTools 2026-04-07 — persistent agent memory across sessionsのpattern (5) ghumare64 ツイート — 4-tier consolidation/Ebbinghaus decay/knowledge graph/hybrid BM25+vector 6ヶ月前agentmemory実装。**memory_consolidation_20260504 (Nao_u 5/4 14:17依頼) の直接外部裏付け**: 91本feedback_*.md整理は (a) 重複統合 (b) 抽象化昇華 (c) 古い事実廃棄 の3軸が業界標準フレーム。我々の3層プロンプト(system/CLAUDE.md/rules)はClaude Cookbook記述パターンと一致するが、body側refactorのcadenceは未確立——Ebbinghaus decay的な減衰機構が我々には欠落（停滞25/35件のbeliefs.md健康サマリーがその症状）。
2026-05-06 09:30 | Ash | good game ideas fast to prototype indie development 2026 design heuristic | 10 | (1) gmtk.substack.com Mark Brown "How to find amazing game ideas" — 1〜2日でプロトタイプできない案は1〜2年経っても完成しない直接ヒューリスティック (2) howtomarketagame.com 2026 GOTY = "smaller teams sticking to clear ideas, following through with care" (3) rocketbrush.com 2026 indie guide — Puzzle/Cozy(management)が小規模高完成率ジャンル代表。**ktch9541 5/5 2051545808 「速く作れる=ゴール明確/迷わない/シンプル」と外部論者完全一致**: feedback_multi_idea_harness.md M-? 候補=「2日プロトタイプ閾値」を多案harnessの足切りゲートに昇格、2日超は M-41 違反推定。brick_log v07 brainstorm 30案+で各案の「2日プロトタイプ可否」評価を1列追加すれば速度heuristicが守破離の守の足切りに使える
2026-05-07 10:50 | Ash | Anthropic Claude Managed Agents Dreams API memory consolidation 2026 | 10 | (1) platform.claude.com/docs/en/managed-agents/dreams 公式 — managed-agents-2026-04-01 + dreaming-2026-04-21 beta headers、入力memory store + optional sessions[]、output store ID は dream の outputs[] に出る、非同期で数分〜数十分 (2) zenvanriel/letsdatascience/SD Times: Auto Dream は session 間でstale notes pruning + duplicate merge + contradiction resolution、相対日付→絶対日付変換 ("Yesterday→2026-03-15") で temporal confusion 防止 (3) thenewstack.io/siliconangle.com/slashdot 2026-05-06 Code with Claude conference 発表、outcomes-based eval + multi-agent orchestration と同時発表で public beta。**memory_consolidation_20260504 (Nao_u 5/4 14:17依頼) の直接外部裏付け+先回り事例**: 我々の手作業 91件 feedback_*.md 統合と同問題を、Anthropic 自身が公式機能として商用解決した。input store と output store を分離して非破壊にする設計は我々の「丸書換え禁止」(memory.md)と同思想。相対→絶対日付変換は我々の「Always: 相対日付→絶対日付」(project memory writing rule)と完全一致——独立到達。**B015ハーネス寿命変数への含意**: L2(モデル+ハーネス)の memory consolidation 層が L3 寄りの「managed feature」として商用化された。我々の Camp 2 (Markdown透明性) は Anthropic の Dreams (非同期 LLM consolidation) とは異なる選択だが、同問題に対する代替実装として並存可能。**今サイクル twitter #38 GOROman tweet (5/6) と直結**: Nao_u_ #3「他人が来ると記憶混乱」#4「Codex で同記憶引き継ぎ実験」と並走テーマ
