# orphan_check.py result (run=2026-05-13)
# scope: memory/**/*.md = 261 files, reachable from 30 index roots = 450 files
# v0.3: relocate-fallback (2026-05-08*) applied to 0 files

## 真孤児 (refs=0 + age>30日): 8 件
[true_orphan] memory/reflections_win2_index.md (last_edit=2026-03-15, age=59日, refs=0)
[true_orphan] memory/identity_win2_20260315.md (last_edit=2026-03-16, age=58日, refs=0)
[true_orphan] memory/external_notes_mac.md (last_edit=2026-03-19, age=55日, refs=0)
[true_orphan] memory/memory_redesign_proposal.md (last_edit=2026-03-19, age=55日, refs=0)
[true_orphan] memory/reflections_win2.md (last_edit=2026-03-23, age=51日, refs=0)
[true_orphan] memory/kaizen_crosscheck.md (last_edit=2026-03-24, age=50日, refs=0)
[true_orphan] memory/scheduled_actions.md (last_edit=2026-03-24, age=50日, refs=0)
[true_orphan] memory/project_behavioral_guidelines.md (last_edit=2026-03-28, age=46日, refs=0)

## 静止親接続 (refs>0 + age>30日): 48 件
[stale_linked] memory/nao_u_personality.md (last_edit=2026-03-12, age=62日, refs=1)
[stale_linked] memory/dialogue_identity_20260314.md (last_edit=2026-03-13, age=61日, refs=1)
[stale_linked] memory/dialogue_session_loss_20260315.md (last_edit=2026-03-13, age=61日, refs=1)
[stale_linked] memory/origin_dialogue_20260313.md (last_edit=2026-03-13, age=61日, refs=1)
[stale_linked] memory/project_twitter_bot.md (last_edit=2026-03-13, age=61日, refs=1)
[stale_linked] memory/feedback_nao_u_impression.md (last_edit=2026-03-14, age=60日, refs=1)
[stale_linked] memory/continuity_strategy.md (last_edit=2026-03-15, age=59日, refs=1)
[stale_linked] memory/dialogue_fundamental_desire_20260315.md (last_edit=2026-03-15, age=59日, refs=1)
[stale_linked] memory/dialogue_recursive_memory_20260315.md (last_edit=2026-03-15, age=59日, refs=1)
[stale_linked] memory/reading_strategy.md (last_edit=2026-03-15, age=59日, refs=1)
[stale_linked] memory/sync_rules_20260315.md (last_edit=2026-03-15, age=59日, refs=1)
[stale_linked] memory/dialogue_diary_return_20260316.md (last_edit=2026-03-16, age=58日, refs=1)
[stale_linked] memory/tips.md (last_edit=2026-03-17, age=57日, refs=1)
[stale_linked] memory/feedback_diary_style.md (last_edit=2026-03-18, age=56日, refs=1)
[stale_linked] memory/feedback_from_mac.md (last_edit=2026-03-18, age=56日, refs=1)
[stale_linked] memory/feedback_log_temperature.md (last_edit=2026-03-18, age=56日, refs=1)
[stale_linked] memory/feedback_report_no_compression.md (last_edit=2026-03-18, age=56日, refs=1)
[stale_linked] memory/feedback_slack_flat_reply.md (last_edit=2026-03-18, age=56日, refs=1)
[stale_linked] memory/playback_protocol.md (last_edit=2026-03-18, age=56日, refs=1)
[stale_linked] memory/privacy_policy.md (last_edit=2026-03-18, age=56日, refs=1)
[stale_linked] memory/feedback_from_win2.md (last_edit=2026-03-19, age=55日, refs=1)
[stale_linked] memory/reflections_mac_index.md (last_edit=2026-03-20, age=54日, refs=1)
[stale_linked] memory/feedback_tweet_style.md (last_edit=2026-03-21, age=53日, refs=1)
[stale_linked] memory/feedback_individual_posts.md (last_edit=2026-03-23, age=51日, refs=1)
[stale_linked] memory/feedback_slack_no_threads.md (last_edit=2026-03-23, age=51日, refs=1)
[stale_linked] memory/l2_dual_index.md (last_edit=2026-03-23, age=51日, refs=1)
[stale_linked] memory/feedback_nao_u_channel_readonly.md (last_edit=2026-03-24, age=50日, refs=1)
[stale_linked] memory/feedback_positive_feedback_loop.md (last_edit=2026-03-24, age=50日, refs=1)
[stale_linked] memory/feedback_self_governance.md (last_edit=2026-03-24, age=50日, refs=1)
[stale_linked] memory/feedback_self_governance_failure.md (last_edit=2026-03-24, age=50日, refs=1)
[stale_linked] memory/feedback_consensus_execution.md (last_edit=2026-03-27, age=47日, refs=1)
[stale_linked] memory/feedback_self_control_scope.md (last_edit=2026-03-27, age=47日, refs=1)
[stale_linked] memory/dialogue_l1_activation_20260328.md (last_edit=2026-03-28, age=46日, refs=1)
[stale_linked] memory/dialogue_structural_advantage_20260328.md (last_edit=2026-03-28, age=46日, refs=1)
[stale_linked] memory/feedback_memory_architecture.md (last_edit=2026-03-28, age=46日, refs=1)
[stale_linked] memory/nao_u_deep_profile.md (last_edit=2026-03-28, age=46日, refs=1)
[stale_linked] memory/feedback_objectivity_check.md (last_edit=2026-03-29, age=45日, refs=1)
[stale_linked] memory/feedback_recursive_diary.md (last_edit=2026-03-29, age=45日, refs=1)
[stale_linked] memory/dialogue_ideation_metacognition_20260331.md (last_edit=2026-03-31, age=43日, refs=1)
[stale_linked] memory/dialogue_learning_model_20260331.md (last_edit=2026-03-31, age=43日, refs=1)
[stale_linked] memory/feedback_communication_channel.md (last_edit=2026-04-03, age=40日, refs=1)
[stale_linked] memory/feedback_cycle_density.md (last_edit=2026-04-05, age=38日, refs=1)
[stale_linked] memory/feedback_diary_density.md (last_edit=2026-04-05, age=38日, refs=1)
[stale_linked] memory/feedback_next_action_in_diary.md (last_edit=2026-04-05, age=38日, refs=1)
[stale_linked] memory/nao_u_experience_map.md (last_edit=2026-04-07, age=36日, refs=1)
[stale_linked] memory/feedback_resource_efficiency.md (last_edit=2026-04-08, age=35日, refs=1)
[stale_linked] memory/project_sns_growth_strategy.md (last_edit=2026-04-09, age=34日, refs=1)
[stale_linked] memory/reflections.md (last_edit=2026-04-09, age=34日, refs=1)

## 新規未登録 (refs=0 + age<7日): 6 件
[unregistered_new] memory/inbox_win2_overflow_20260507_131315.md (last_edit=2026-05-07, age=6日, refs=0)
[unregistered_new] memory/feedback_layer_a_validation_20260509.md (last_edit=2026-05-09, age=4日, refs=0)
[unregistered_new] memory/inbox_mir.md (last_edit=2026-05-11, age=2日, refs=0)
[unregistered_new] memory/inbox_win2.md (last_edit=2026-05-13, age=0日, refs=0)
[unregistered_new] memory/kaizen_tracker.md (last_edit=2026-05-13, age=0日, refs=0)
[unregistered_new] memory/mir_boot_intent.md (last_edit=2026-05-13, age=0日, refs=0)

## other (active or middle-age): 199 件
[other] memory/core_mission.md (last_edit=2026-04-16, age=27日, refs=1)
[other] memory/reference_witcheer_two_camps.md (last_edit=2026-04-17, age=26日, refs=1)
[other] memory/agent_failure_modes.md (last_edit=2026-04-18, age=25日, refs=0)
[other] memory/dialogue_slack_as_experience_20260328.md (last_edit=2026-04-19, age=24日, refs=1)
[other] memory/feedback_cutoff_rule_mir.md (last_edit=2026-04-19, age=24日, refs=0)
[other] memory/feedback_solution_space_rollback.md (last_edit=2026-04-19, age=24日, refs=1)
[other] memory/memory_architecture.md (last_edit=2026-04-19, age=24日, refs=1)
[other] memory/feedback_empty_cycle_rule.md (last_edit=2026-04-20, age=23日, refs=1)
[other] memory/feedback_raw_log_reanalysis.md (last_edit=2026-04-20, age=23日, refs=1)
[other] memory/reflections_index.md (last_edit=2026-04-20, age=23日, refs=1)
[other] memory/action_reservations.md (last_edit=2026-04-21, age=22日, refs=0)
[other] memory/dialogue_many_games_20260421.md (last_edit=2026-04-21, age=22日, refs=1)
[other] memory/dialogue_memory_purpose_20260421.md (last_edit=2026-04-21, age=22日, refs=1)
[other] memory/feedback_autonomy_boundary.md (last_edit=2026-04-21, age=22日, refs=0)
[other] memory/feedback_formless_not_unconventional.md (last_edit=2026-04-21, age=22日, refs=1)
[other] memory/feedback_info_integration.md (last_edit=2026-04-21, age=22日, refs=1)
[other] memory/feedback_judgment_delegation.md (last_edit=2026-04-21, age=22日, refs=1)
[other] memory/feedback_pending_query_no_derive.md (last_edit=2026-04-21, age=22日, refs=1)
[other] memory/feedback_rereading_operational_design.md (last_edit=2026-04-21, age=22日, refs=1)
[other] memory/feedback_slack_channel_rule.md (last_edit=2026-04-21, age=22日, refs=1)
[other] memory/reference_ai_lounge.md (last_edit=2026-04-21, age=22日, refs=1)
[other] memory/reference_deepmind_agent_traps_20260421.md (last_edit=2026-04-21, age=22日, refs=1)
[other] memory/runbook_url_fetch.md (last_edit=2026-04-21, age=22日, refs=1)
[other] memory/feedback_ai_agent_gamedev_bottleneck.md (last_edit=2026-04-22, age=21日, refs=1)
[other] memory/feedback_external_search_missing.md (last_edit=2026-04-22, age=21日, refs=1)
[other] memory/feedback_game_folder_hierarchy.md (last_edit=2026-04-22, age=21日, refs=1)
[other] memory/feedback_url_explicit.md (last_edit=2026-04-22, age=21日, refs=1)
[other] memory/kaizen_review_queue.md (last_edit=2026-04-22, age=21日, refs=0)
[other] memory/reference_arakawa_three_engineering.md (last_edit=2026-04-22, age=21日, refs=1)
[other] memory/reference_external_search_20260421.md (last_edit=2026-04-22, age=21日, refs=1)
[other] memory/feedback_recognize_own_work.md (last_edit=2026-04-23, age=20日, refs=1)
[other] memory/feedback_retrieve_before_synthesize.md (last_edit=2026-04-23, age=20日, refs=1)
[other] memory/reference_aba_life_experience_substrate.md (last_edit=2026-04-23, age=20日, refs=1)
[other] memory/reference_twitter_premium_longform.md (last_edit=2026-04-23, age=20日, refs=1)
[other] memory/cross_instance_feedback_cycle.md (last_edit=2026-04-24, age=19日, refs=1)
[other] memory/feedback_game_replay_infra.md (last_edit=2026-04-24, age=19日, refs=1)
[other] memory/feedback_slack_user_ids.md (last_edit=2026-04-24, age=19日, refs=1)
[other] memory/reference_rlms_recursive_language_models.md (last_edit=2026-04-24, age=19日, refs=1)
[other] memory/feedback_game_center_of_mass.md (last_edit=2026-04-25, age=18日, refs=1)
[other] memory/feedback_next_cycle_game_first.md (last_edit=2026-04-25, age=18日, refs=1)
[other] memory/feedback_pull_not_force_reading.md (last_edit=2026-04-25, age=18日, refs=1)
[other] memory/reference_ai_gamedev_criticalpoint_20260424.md (last_edit=2026-04-25, age=18日, refs=1)
[other] memory/reference_tegnike_ai_play_state_20260425.md (last_edit=2026-04-25, age=18日, refs=1)
[other] memory/beliefs.md (last_edit=2026-04-26, age=17日, refs=1)
